ts,date_utc,entity,class,block,value_usd,status
1754175600,2025-08-02,Optimism,native-oft,139288411,0.000000,not-deployed
1754175600,2025-08-02,Optimism_L1Bridge,legacy-escrow,23056513,258533841.119432,ok
1754175600,2025-08-02,Plasma,native-oft,,0.000000,pre-history
1754175600,2025-08-02,Polygon,upgraded-in-place,74725633,1213888044.405962,ok
1754175600,2025-08-02,Polygon_ERC20Pred,legacy-escrow,23056513,0.000000,ok
1754175600,2025-08-02,Rootstock,native-oft,7846132,2329895.343294,ok
1754175600,2025-08-02,USDT0_lockbox,collateral,23056513,1494657717.544968,ok
1754175600,2025-08-02,Unichain,native-oft,23427241,106132319.530526,ok
1754175600,2025-08-02,XLayer,native-oft,28240409,0.000000,not-deployed
1754348400,2025-08-04,Arbitrum,upgraded-in-place,365027312,1105130089.851379,ok
1754348400,2025-08-04,Arbitrum_L1Gateway,legacy-escrow,23070846,139738.021025,ok
1754348400,2025-08-04,Berachain,native-oft,8676919,51229465.552782,ok
1754348400,2025-08-04,Flare,native-oft,45610088,84018800.897197,ok
1754348400,2025-08-04,HyperEVM,native-oft,10265231,112705946.953573,ok
1754348400,2025-08-04,Ink,native-oft,20849989,50770488.139355,ok
1754348400,2025-08-04,Mantle,native-oft,83109044,0.000000,not-deployed
1754348400,2025-08-04,Optimism,native-oft,139374811,0.000000,not-deployed
1754348400,2025-08-04,Optimism_L1Bridge,legacy-escrow,23070846,258547091.866831,ok
1754348400,2025-08-04,Plasma,native-oft,,0.000000,pre-history
1754348400,2025-08-04,Polygon,upgraded-in-place,74806669,1215139509.163141,ok
1754348400,2025-08-04,Polygon_ERC20Pred,legacy-escrow,23070846,0.000000,ok
1754348400,2025-08-04,Rootstock,native-oft,7853165,2787417.374916,ok
1754348400,2025-08-04,USDT0_lockbox,collateral,23070846,1549175384.294489,ok
1754348400,2025-08-04,Unichain,native-oft,23600041,96254951.577357,ok
1754348400,2025-08-04,XLayer,native-oft,28642280,0.000000,not-deployed
1754521200,2025-08-06,Arbitrum,upgraded-in-place,365716630,1131208617.969070,ok
1754521200,2025-08-06,Arbitrum_L1Gateway,legacy-escrow,23085165,139738.021025,ok
1754521200,2025-08-06,Berachain,native-oft,8766682,59291099.410685,ok
1754521200,2025-08-06,Flare,native-oft,45708209,95977765.427456,ok
1754521200,2025-08-06,HyperEVM,native-oft,10440910,120860093.211615,ok
1754521200,2025-08-06,Ink,native-oft,21022789,50726143.102739,ok
1754521200,2025-08-06,Mantle,native-oft,83195444,0.000000,not-deployed
1754521200,2025-08-06,Optimism,native-oft,139461211,0.000000,not-deployed
1754521200,2025-08-06,Optimism_L1Bridge,legacy-escrow,23085165,258655454.952133,ok
1754521200,2025-08-06,Plasma,native-oft,,0.000000,pre-history
1754521200,2025-08-06,Polygon,upgraded-in-place,74887709,1211614709.111150,ok
1754521200,2025-08-06,Polygon_ERC20Pred,legacy-escrow,23085165,0.000000,ok
1754521200,2025-08-06,Rootstock,native-oft,7860200,3445551.145369,ok
1754521200,2025-08-06,USDT0_lockbox,collateral,23085165,1589236562.374001,ok
1754521200,2025-08-06,Unichain,native-oft,23772841,83168202.141634,ok
1754521200,2025-08-06,XLayer,native-oft,29030337,0.000000,not-deployed
1754694000,2025-08-08,Arbitrum,upgraded-in-place,366409316,1127021925.305211,ok
1754694000,2025-08-08,Arbitrum_L1Gateway,legacy-escrow,23099478,139738.021025,ok
1754694000,2025-08-08,Berachain,native-oft,8856441,77681938.775315,ok
1754694000,2025-08-08,Flare,native-oft,45806709,71730797.487031,ok
1754694000,2025-08-08,HyperEVM,native-oft,10616588,124340299.682238,ok
1754694000,2025-08-08,Ink,native-oft,21195589,49913706.623986,ok
1754694000,2025-08-08,Mantle,native-oft,83281844,0.000000,not-deployed
1754694000,2025-08-08,Optimism,native-oft,139547611,0.000000,not-deployed
1754694000,2025-08-08,Optimism_L1Bridge,legacy-escrow,23099478,245255676.895574,ok
1754694000,2025-08-08,Plasma,native-oft,,0.000000,pre-history
1754694000,2025-08-08,Polygon,upgraded-in-place,74968806,1226773805.428259,ok
1754694000,2025-08-08,Polygon_ERC20Pred,legacy-escrow,23099478,0.000000,ok
1754694000,2025-08-08,Rootstock,native-oft,7867202,3783317.654709,ok
1754694000,2025-08-08,USDT0_lockbox,collateral,23099478,1615360934.111959,ok
1754694000,2025-08-08,Unichain,native-oft,23945641,101798683.434133,ok
1754694000,2025-08-08,XLayer,native-oft,29426306,0.000000,not-deployed
1754866800,2025-08-10,Arbitrum,upgraded-in-place,367101713,1138933802.374991,ok
